X(km) Y(km) Value
170.00 30.00 0.06
190.00 0.00 0.76
20.00 200.00 -1.36
190.00 50.00 0.23
130.00 80.00 -0.35
20.00 10.00 -0.22
50.00 260.00 -1.44
110.00 150.00 -0.17
200.00 30.00 0.75
200.00 80.00 0.32
30.00 90.00 -1.17
200.00 110.00 0.35
200.00 30.00 0.70
100.00 50.00 0.14
160.00 240.00 0.04
20.00 300.00 -2.03
80.00 260.00 -0.75
190.00 70.00 0.20
160.00 190.00 0.13
200.00 40.00 0.66
130.00 230.00 1.10
0.00 230.00 -1.67
170.00 250.00 -0.24
190.00 190.00 -0.01
140.00 70.00 -0.36
150.00 280.00 -0.07
150.00 180.00 0.10
80.00 70.00 -0.26
130.00 230.00 1.13
30.00 180.00 -1.04
